Airline,Date_of_Journey,Source,Destination,Route,Dep_Time,Arrival_Time,Duration,Total_Stops,Price,Duration_Hr,Duration_Min,Total_Rating
IndiGo,24/03/2019,Banglore,New Delhi,BLR → DEL,22:20,1:10,2:50,0,3897,2,50,7
Air India,1/5/2019,Kolkata,Banglore,CCU → IXR → BBI → BLR,5:50,13:15,7:25,2,7662,7,25,6
Jet Airways,9/6/2019,Delhi,Cochin,DEL → LKO → BOM → COK,9:25,4:25,19h,2,13882,19h,40,7
IndiGo,12/5/2019,Kolkata,Banglore,CCU → NAG → BLR,18:05,23:30,5:25,1,6218,5,25,10
IndiGo,1/3/2019,Banglore,New Delhi,BLR → NAG → DEL,16:50,21:35,4:45,1,13302,4,45,9
SpiceJet,24/06/2019,Kolkata,Banglore,CCU → BLR,9:00,11:25,2:25,0,3873,2,25,6
Jet Airways,12/3/2019,Banglore,New Delhi,BLR → BOM → DEL,18:55,10:25,15:30,1,11087,15,30,8
Jet Airways,1/3/2019,Banglore,New Delhi,BLR → BOM → DEL,8:00,5:05,21:05,1,22270,21,5,6
Jet Airways,12/3/2019,Banglore,New Delhi,BLR → BOM → DEL,8:55,10:25,25:30:00,1,11087,25,30,6
Multiple carriers,27/05/2019,Delhi,Cochin,DEL → BOM → COK,11:25,19:15,7:50,1,8625,7,50,8
Air India,1/6/2019,Delhi,Cochin,DEL → BLR → COK,9:45,23:00,13:15,1,8907,13,15,9
IndiGo,18/04/2019,Kolkata,Banglore,CCU → BLR,20:20,22:55,2:35,0,4174,2,35,7
Air India,24/06/2019,Chennai,Kolkata,MAA → CCU,11:40,13:55,2:15,0,4667,2,15,9
Jet Airways,9/5/2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,9:20,12:10,1,9663,12,10,9
IndiGo,24/04/2019,Kolkata,Banglore,CCU → BLR,17:15,19:50,2:35,0,4804,2,35,6
Air India,3/3/2019,Delhi,Cochin,DEL → AMD → BOM → COK,16:40,19:15,26:35:00,2,14011,26,35,8
SpiceJet,15/04/2019,Delhi,Cochin,DEL → PNQ → COK,8:45,13:15,4:30,1,5830,4,30,6
Jet Airways,12/6/2019,Delhi,Cochin,DEL → BOM → COK,14:00,12:35,22:35,1,10262,22,35,5
Air India,12/6/2019,Delhi,Cochin,DEL → CCU → BOM → COK,20:15,19:15,23h,2,13381,23h,30,7
Jet Airways,27/05/2019,Delhi,Cochin,DEL → BOM → COK,16:00,12:35,20:35,1,12898,20,35,7
GoAir,6/3/2019,Delhi,Cochin,DEL → BOM → COK,14:10,19:20,5:10,1,19495,5,10,8
Air India,21/03/2019,Banglore,New Delhi,BLR → COK → DEL,22:00,13:20,15:20,1,6955,15,20,9
IndiGo,3/4/2019,Banglore,Delhi,BLR → DEL,4:00,6:50,2:50,0,3943,2,50,8
IndiGo,1/5/2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2:55,0,4823,2,55,4
Jet Airways,6/5/2019,Kolkata,Banglore,CCU → BOM → BLR,18:55,8:15,13:20,1,7757,13,20,6
Jet Airways,9/6/2019,Delhi,Cochin,DEL → IDR → BOM → COK,21:25,12:35,15:10,2,13292,15,10,8
IndiGo,1/6/2019,Delhi,Cochin,DEL → LKO → COK,21:50,3:35,5:45,1,8238,5,45,10
